engine,method,percent,run_id,bench_n,success_rate,avg_moves,avg_nodes,avg_time
learned,gbrt,50,run_010,50,1.0,22.02,2273.12,0.05148689399880823
learned,gbrt,50,run_011,50,1.0,22.02,2150.74,0.050407996000139975
learned,gbrt,50,run_012,50,1.0,21.98,2011.98,0.03867937800183427
learned,gbrt,50,run_013,50,1.0,21.98,2341.26,0.04780709399958141
learned,gbrt,50,run_014,50,1.0,22.02,1080.06,0.02445051800168585
learned,gbrt,50,run_015,50,1.0,22.02,2275.8,0.05042667799803894
learned,gbrt,60,run_001,50,1.0,22.02,2390.04,0.05072774999891408
learned,gbrt,60,run_002,50,1.0,21.98,1721.32,0.03773576600069646
learned,gbrt,60,run_003,50,1.0,22.02,1670.2,0.0203845460008597
learned,gbrt,60,run_004,50,1.0,21.98,2484.02,0.027475190000259317
learned,gbrt,60,run_005,50,1.0,22.02,1749.04,0.02053397199837491
learned,gbrt,60,run_006,50,1.0,22.02,1251.2,0.013570681999553927
learned,gbrt,60,run_007,50,1.0,22.02,1530.48,0.016685637998161838
learned,gbrt,60,run_008,50,1.0,22.02,1652.8,0.017502559998538347
learned,gbrt,60,run_009,50,1.0,21.98,1322.7,0.013981263997848145
learned,gbrt,60,run_010,50,1.0,22.02,1489.36,0.016117659998708404
learned,gbrt,60,run_011,50,1.0,21.98,1761.6,0.019565476000425405
learned,gbrt,60,run_012,50,1.0,22.02,2166.64,0.023923630000208505
learned,gbrt,60,run_013,50,1.0,21.98,1704.44,0.01867425800184719
learned,gbrt,60,run_014,50,1.0,21.94,1898.26,0.021226827999926173
learned,gbrt,60,run_015,50,1.0,21.98,1320.68,0.015076268000411801
learned,gbrt,70,run_001,50,1.0,21.98,2398.86,0.028525750002008864
learned,gbrt,70,run_002,50,1.0,21.98,2024.48,0.024149032001732847
learned,gbrt,70,run_003,50,1.0,21.98,1722.56,0.019073380001354962
learned,gbrt,70,run_004,50,1.0,22.02,2027.22,0.022177613997482696
learned,gbrt,70,run_005,50,1.0,21.98,2475.08,0.027031614002189598
learned,gbrt,70,run_006,50,1.0,21.98,2310.9,0.02558593199995812
learned,gbrt,70,run_007,50,1.0,22.02,1637.34,0.01774498600163497
learned,gbrt,70,run_008,50,1.0,22.02,2748.82,0.029192972003365868
learned,gbrt,70,run_009,50,1.0,22.02,1696.56,0.017739643998793325
learned,gbrt,70,run_010,50,1.0,21.94,2002.02,0.021046532003092578
learned,gbrt,70,run_011,50,1.0,22.02,2161.06,0.02331171400146559
learned,gbrt,70,run_012,50,1.0,22.02,1407.14,0.015179011999862269
learned,gbrt,70,run_013,50,1.0,21.98,2645.5,0.029271384003804995
learned,gbrt,70,run_014,50,1.0,21.98,2141.72,0.023350594000075945
learned,gbrt,70,run_015,50,1.0,21.94,1914.66,0.02184781999909319
learned,gbrt,80,run_001,50,1.0,21.98,1804.34,0.021118256000918337
learned,gbrt,80,run_002,50,1.0,22.02,2185.32,0.024570976000395605
learned,gbrt,80,run_003,50,1.0,21.98,1991.2,0.024008688001777044
learned,gbrt,80,run_004,50,1.0,21.9,2121.02,0.025639267998049036
learned,gbrt,80,run_005,50,1.0,21.98,1896.32,0.04214039600163232
learned,gbrt,80,run_006,50,1.0,21.98,2025.36,0.043733742000185885
learned,gbrt,80,run_007,50,1.0,22.02,1737.9,0.039790457998751666
